msg_count,mid_price,imbalance,best_bid,best_ask,spread
6208,19.96,-106100,19.96,19.96,0
6209,19.96,-106000,19.96,19.96,0
6211,19.96,-105900,19.96,19.96,0
6218,19.96,-104700,19.96,19.96,0
6229,19.96,-105200,19.96,19.96,0
6230,19.96,-108200,19.96,19.96,0
6237,19.96,-108700,19.96,19.96,0
6279,19.96,-108600,19.96,19.96,0
6281,19.96,-107400,19.96,19.96,0
6299,19.96,-106200,19.96,19.96,0
6330,19.96,-106100,19.96,19.96,0
6341,19.96,-104900,19.96,19.96,0
6351,19.96,-103700,19.96,19.96,0
6354,19.96,-102500,19.96,19.96,0
6356,19.96,-103700,19.96,19.96,0
6357,19.96,-103600,19.96,19.96,0
6358,19.96,-106600,19.96,19.96,0
6359,19.96,-107700,19.96,19.96,0
6405,19.96,-106500,19.96,19.96,0
6453,19.96,-107000,19.96,19.96,0
6454,19.96,-110000,19.96,19.96,0
6455,19.96,-110500,19.96,19.96,0
6457,19.96,-111800,19.96,19.96,0
6458,19.96,-112300,19.96,19.96,0
6459,19.96,-115300,19.96,19.96,0
6460,19.96,-115800,19.96,19.96,0
6463,19.96,-115700,19.96,19.96,0
6464,19.96,-115200,19.96,19.96,0
6465,19.96,-116400,19.96,19.96,0
6466,19.96,-117500,19.96,19.96,0
6467,19.96,-118000,19.96,19.96,0
6468,19.96,-117500,19.96,19.96,0
6541,19.96,-117000,19.96,19.96,0
6557,19.96,-116200,19.96,19.96,0
6564,19.96,-115400,19.96,19.96,0
6568,19.96,-114600,19.96,19.96,0
6610,19.96,-113800,19.96,19.96,0
6615,19.96,-113300,19.96,19.96,0
6635,19.96,-114500,19.96,19.96,0
6637,19.96,-113200,19.96,19.96,0
6641,19.96,-114200,19.96,19.96,0
6643,19.955,-115300,19.96,19.95,-0.01
6644,19.955,-117700,19.96,19.95,-0.01
6656,19.955,-118900,19.96,19.95,-0.01
6659,19.955,-120900,19.96,19.95,-0.01
6670,19.955,-122100,19.96,19.95,-0.01
6674,19.955,-122600,19.96,19.95,-0.01
6677,19.955,-121400,19.96,19.95,-0.01
6678,19.955,-122500,19.96,19.95,-0.01
6679,19.955,-123500,19.96,19.95,-0.01
6681,19.955,-124700,19.96,19.95,-0.01
6682,19.955,-123600,19.96,19.95,-0.01
6685,19.955,-122500,19.96,19.95,-0.01
6689,19.955,-121500,19.96,19.95,-0.01
6724,19.955,-122600,19.96,19.95,-0.01
6725,19.955,-123800,19.96,19.95,-0.01
6777,19.955,-125200,19.96,19.95,-0.01
6878,19.955,-126400,19.96,19.95,-0.01
6935,19.955,-125900,19.96,19.95,-0.01
6936,19.955,-128900,19.96,19.95,-0.01
6937,19.955,-125900,19.96,19.95,-0.01
6938,19.955,-127200,19.96,19.95,-0.01
6941,19.955,-127100,19.96,19.95,-0.01
6942,19.955,-126100,19.96,19.95,-0.01
6979,19.955,-127300,19.96,19.95,-0.01
6980,19.955,-128500,19.96,19.95,-0.01
6981,19.955,-129700,19.96,19.95,-0.01
6982,19.955,-129600,19.96,19.95,-0.01
6984,19.955,-128600,19.96,19.95,-0.01
6992,19.955,-129800,19.96,19.95,-0.01
6995,19.955,-131000,19.96,19.95,-0.01
6997,19.955,-130900,19.96,19.95,-0.01
7004,19.955,-132100,19.96,19.95,-0.01
7008,19.955,-133300,19.96,19.95,-0.01
7009,19.955,-133200,19.96,19.95,-0.01
7010,19.955,-134400,19.96,19.95,-0.01
7011,19.955,-135600,19.96,19.95,-0.01
7012,19.955,-136800,19.96,19.95,-0.01
7014,19.955,-136700,19.96,19.95,-0.01
7015,19.955,-137900,19.96,19.95,-0.01
7016,19.955,-137800,19.96,19.95,-0.01
7027,19.955,-139000,19.96,19.95,-0.01
7028,19.955,-138900,19.96,19.95,-0.01
7029,19.955,-140100,19.96,19.95,-0.01
7045,19.955,-141300,19.96,19.95,-0.01
7046,19.955,-142500,19.96,19.95,-0.01
7085,19.955,-142400,19.96,19.95,-0.01
7086,19.955,-139400,19.96,19.95,-0.01
7087,19.955,-139900,19.96,19.95,-0.01
7103,19.955,-139800,19.96,19.95,-0.01
7104,19.955,-141000,19.96,19.95,-0.01
7110,19.955,-142200,19.96,19.95,-0.01
7111,19.955,-142100,19.96,19.95,-0.01
7112,19.955,-143300,19.96,19.95,-0.01
7117,19.955,-144500,19.96,19.95,-0.01
7132,19.955,-144400,19.96,19.95,-0.01
7133,19.955,-144300,19.96,19.95,-0.01
7136,19.955,-145500,19.96,19.95,-0.01
7137,19.955,-146700,19.96,19.95,-0.01
7138,19.955,-147900,19.96,19.95,-0.01
7139,19.955,-149100,19.96,19.95,-0.01
7141,19.955,-149000,19.96,19.95,-0.01
7142,19.955,-150200,19.96,19.95,-0.01
7148,19.955,-150100,19.96,19.95,-0.01
7149,19.955,-150000,19.96,19.95,-0.01
7150,19.955,-149900,19.96,19.95,-0.01
7151,19.955,-149800,19.96,19.95,-0.01
7152,19.955,-149700,19.96,19.95,-0.01
7154,19.955,-150200,19.96,19.95,-0.01
7181,19.955,-149400,19.96,19.95,-0.01
7183,19.955,-150600,19.96,19.95,-0.01
7191,19.955,-150100,19.96,19.95,-0.01
7192,19.955,-149600,19.96,19.95,-0.01
7193,19.955,-148800,19.96,19.95,-0.01
7195,19.955,-148700,19.96,19.95,-0.01
7197,19.955,-148600,19.96,19.95,-0.01
7198,19.955,-148100,19.96,19.95,-0.01
7199,19.955,-148000,19.96,19.95,-0.01
7200,19.955,-149200,19.96,19.95,-0.01
7201,19.955,-149100,19.96,19.95,-0.01
